audit,method,seed,param_dim,policy_evaluations,search_mean_welfare,theta_cost_multiplier,evaluation_variant,mean_welfare,mean_welfare_no_theta_cost,avg_cost,avg_cost_no_theta,fill_rate,ending_backlog,avg_inventory,avg_order,theta_std,theta_mean_abs_deviation_from_one,service_breach_count
theta_cost_sweep_inventory,action_only_adaptive_base_stock,14161,7,192,-3.712816628931142,0.0,normal,-3.706463017929199,-3.706463017929199,4.302574317669232,4.302574317669232,0.9996701624675041,0.2995866387275528,8.436010428322556,22.976864732236805,0.0,0.0,1.375
theta_cost_sweep_inventory,action_only_adaptive_base_stock,15161,7,192,-3.784257572712546,0.0,normal,-3.710508168822942,-3.710508168822942,4.307382398255647,4.307382398255647,0.9996483411790881,0.3246310720925059,8.570801977395636,22.787108698523507,0.0,0.0,1.34375
theta_cost_sweep_inventory,full_ndu_inventory,8161,12,192,-3.8032108699230953,1.0,normal,-3.707215673162916,-3.7062167791456013,4.299388492810277,4.298389598792963,0.9997442587059201,0.2327129088990639,8.242742415821239,22.821901374487,0.14224003735717505,0.12611409750649555,1.5260416666666667
theta_cost_sweep_inventory,full_ndu_inventory,9161,12,192,-3.852020603160102,1.0,normal,-3.66414628751613,-3.6622883352480073,4.265975858813827,4.264117906545704,0.9997111182872122,0.2605924401161766,8.681146410135456,22.82549505170043,0.15778866787806867,0.16626882595716083,1.1953125
theta_cost_sweep_inventory,full_ndu_inventory,10161,12,192,-3.768940445642838,1.0,normal,-3.7429482156607707,-3.7426930724537155,4.342913236052918,4.342658092845864,0.9994585181740184,0.4898434891638103,8.903539921284766,22.953953895562677,0.03598519364221176,0.06827325433416359,1.1901041666666667
theta_cost_sweep_inventory,full_ndu_inventory,11161,12,192,-3.5966088709488533,1.0,normal,-3.7278890017028967,-3.7273138592379205,4.318268434700848,4.317693292235873,0.9997642259997441,0.21393458344962954,8.286061109048392,22.77779978043402,0.07907021950436656,0.09315718150521515,1.5911458333333333
theta_cost_sweep_inventory,full_ndu_inventory,12161,12,192,-3.6415268370812575,1.0,normal,-3.734919558738555,-3.7348405406436203,4.3245548088636525,4.324475790768719,0.9996419062656372,0.32470784274989034,8.202400819291078,23.03044210753465,0.031418591906962,0.03464128743259284,1.5833333333333333
theta_cost_sweep_inventory,full_ndu_inventory,13161,12,192,-3.722870140677773,1.0,normal,-3.790964418957202,-3.789561430703229,4.391288948081617,4.3898859598276445,0.999855019265552,0.12953842472644594,8.980403060044155,22.771609943324155,0.054620520227519974,0.16394920727813478,1.2838541666666667
theta_cost_sweep_inventory,full_ndu_inventory,14161,12,192,-3.7050718167345593,1.0,normal,-3.7101409106428753,-3.7079085184434235,4.310569301969392,4.308336909769941,0.9997312832908145,0.24281431443533408,8.702299384663306,22.993822690928624,0.14538876332767223,0.1740399478219075,1.2473958333333333
theta_cost_sweep_inventory,full_ndu_inventory,15161,12,192,-3.7742014644580077,1.0,normal,-3.7351114425404077,-3.733036819131127,4.326726849257994,4.324652225848713,0.9995183320896981,0.4452594880959051,8.435862654563785,22.76183886519911,0.07254876276855214,0.1976995961148025,1.484375
theta_cost_sweep_inventory,action_only_adaptive_base_stock,8261,7,192,-3.7848355102762348,1.0,normal,-3.6813306618772104,-3.6813306618772104,4.280008071304704,4.280008071304704,0.9998053793034368,0.1798894984887883,8.458970634484729,23.10097952846728,0.0,0.0,1.3255208333333333
