method,seed,param_dim,cem_iterations,cem_population,policy_evaluations,search_mean_welfare,mean_welfare,avg_cost,fill_rate,ending_backlog,avg_inventory,avg_order,theta_std,service_breach_count
valuation_only_service_rule,2361,6,9,22,198,-3.8183202979351356,-3.826212221203166,4.4123160335697555,0.9994812382645737,0.45481015717654233,8.375253299698755,22.8711117382217,0.05928316916759873,1.658203125
valuation_only_service_rule,3361,6,9,22,198,-3.63934452773546,-3.7786285804944963,4.374171729206679,0.9996723857765228,0.30247437300153757,8.682162618779628,23.067515937111153,0.13271125971031614,1.39453125
valuation_only_service_rule,4361,6,9,22,198,-3.7764494701954803,-3.7335873989234662,4.336040342004203,0.9997377702288421,0.23452075987881288,9.020190181454701,22.83267444170467,0.15171549408923946,1.181640625
valuation_only_service_rule,5361,6,9,22,198,-3.736240248563655,-3.767423479883478,4.359416246824691,0.9997119864926517,0.26013952451394123,8.417200125267076,22.922967034600845,0.06368083348964018,1.5234375
valuation_only_service_rule,6361,6,9,22,198,-3.7902267312734623,-3.7435560225300852,4.342525362084192,0.9996905033817634,0.28226035297685986,8.735296230741891,22.9702698940174,0.13294803899787283,1.28515625
valuation_only_service_rule,7361,6,9,22,198,-3.8857505506968724,-3.780033134713143,4.377408490757638,0.9996743609118119,0.28773618699249265,8.835995604152604,22.917450070080285,0.09055104910990674,1.333984375
valuation_only_service_rule,8361,6,9,22,198,-3.869337611290328,-3.8335236685201584,4.437463318731807,0.9997331789327061,0.2424033261398077,9.267270905625573,23.07137922874667,0.10544519868483135,1.130859375
valuation_only_service_rule,9361,6,9,22,198,-3.744452154897752,-3.7409061938957517,4.340487678207296,0.9997889941326932,0.19034784109639785,8.751664491890384,22.914127814627236,0.07523424301919195,1.291015625
valuation_only_service_rule,10361,6,9,22,198,-3.645313643807501,-3.7477788806874415,4.3391349271659765,0.9996250722160669,0.348530282053535,8.346675858216607,22.952242502939832,0.10090869936163419,1.521484375
valuation_only_service_rule,11361,6,9,22,198,-3.768807138178975,-3.758306923040654,4.3627890726236025,0.9997204249478687,0.25097101364992086,9.160546542040692,22.835394695158296,0.10144185412028438,1.109375
valuation_only_service_rule,12361,6,9,22,198,-3.6944234881883506,-3.7789547861451074,4.370361306059371,0.999646029833033,0.3178668678125951,8.419561009424655,23.016836661998802,0.06834246917573561,1.525390625
valuation_only_service_rule,13361,6,9,22,198,-3.723521506470524,-3.7370400832989503,4.329451238410902,0.999691042826494,0.28059446473253935,8.427298640714785,22.807738199757402,0.06301388319165854,1.50390625
valuation_only_service_rule,14361,6,9,22,198,-3.92142508139944,-3.799958644612927,4.396151699283573,0.9997389755838308,0.2398351852303806,8.77593743495432,22.99224082386177,0.06870283812387057,1.390625
valuation_only_service_rule,15361,6,9,22,198,-3.6984080407437827,-3.7823566406504456,4.377216702429292,0.9997774295973558,0.2065616165227498,8.54784776874322,23.21890714892041,0.10323219796061764,1.4453125
valuation_only_service_rule,16361,6,9,22,198,-3.8763047689836534,-3.7263216888070687,4.325746658820565,0.9997840782829369,0.20053255115322896,8.74399079643228,22.911325666075864,0.11592044037186916,1.294921875
valuation_only_service_rule,17361,6,9,22,198,-3.70008103007585,-3.7823277319034205,4.375649049792602,0.9997022741111476,0.272248337101716,8.568775334559655,23.025247433807483,0.10588089749153978,1.4765625
valuation_only_service_rule,18361,6,9,22,198,-3.6075090396741682,-3.8305455222403015,4.410187355494774,0.999559721344309,0.4026362449865104,8.008483537316021,23.00696681125352,0.049357312905617005,1.89453125
valuation_only_service_rule,19361,6,9,22,198,-3.850185993266741,-3.8347135054074664,4.4306518563418535,0.9996412196480486,0.3252854560263223,8.93580935916356,22.902104191334416,0.13851562188205993,1.373046875
valuation_only_service_rule,20361,6,9,22,198,-3.7835449105128593,-3.7433727053359185,4.337159597348884,0.9996139865016207,0.3554165070668973,8.538320653819785,22.87776400812157,0.09089761055369566,1.4375
valuation_only_service_rule,21361,6,9,22,198,-3.72092528114324,-3.8444654301660015,4.435357305372824,0.9997062109633528,0.2713738798214869,8.552311350492747,23.23202308878549,0.05068157906206887,1.55859375
valuation_only_service_rule,22361,6,9,22,198,-3.7778144098045168,-3.773264710216581,4.3631823427531895,0.9995624579733261,0.3970885492784485,8.369094943174161,22.96893539208599,0.08361311135183609,1.552734375
valuation_only_service_rule,23361,6,9,22,198,-3.7436034495189823,-3.7622878324716815,4.350830749886815,0.9997128842081417,0.2558078763493324,8.261485204402089,23.043434943965583,0.06455179955836315,1.638671875
valuation_only_service_rule,24361,6,9,22,198,-3.7271090614081586,-3.8450336547471533,4.433994057938605,0.9997650699301814,0.21524506916800032,8.520129193131561,23.061756626153922,0.08434751993395984,1.638671875
valuation_only_service_rule,25361,6,9,22,198,-3.6928684583050813,-3.78099511237906,4.367475612626001,0.9994770547183678,0.465228880447188,8.305972970137628,22.866544118580407,0.06080143890435649,1.64453125
valuation_only_service_rule,26361,6,9,22,198,-3.6789356578940207,-3.752872941496811,4.346996106939734,0.9996413722428653,0.3347916309714021,8.54172403382597,23.05550535764278,0.08813969012406125,1.43359375
valuation_only_service_rule,27361,6,9,22,198,-3.879702310545712,-3.8219191349642365,4.416073198956742,0.9995866408115632,0.38336108277861536,8.785752049836766,22.945940583498796,0.05791240735125348,1.41796875
valuation_only_service_rule,28361,6,9,22,198,-3.7571743894447303,-3.760311459284991,4.361044528617445,0.9996619461665566,0.29809149747445085,8.882926707543108,22.902315253760122,0.08249922758184151,1.21875
valuation_only_service_rule,29361,6,9,22,198,-3.7271765935705403,-3.7896252479782344,4.382321223204956,0.9996900242470903,0.28073919938834546,8.479486336303674,22.923510424612402,0.07753635975625207,1.494140625
valuation_only_service_rule,30361,6,9,22,198,-3.8982398973751313,-3.7305989269640873,4.334125771865251,0.9997548204563955,0.21878250384765058,8.933527857533615,22.89585211558407,0.09757617660735735,1.150390625
